,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
109,30038.0,244510.0,251287.0,257350.0,263040.0,268692.0,274156.0,277856.0,281066.0,282232.0,283288.0,284017.0,285111.0,271050.4166666667
110,30248.0,300229.0,306620.0,313172.0,318927.0,326711.0,332644.0,337380.0,339025.0,339857.0,338959.0,336356.0,334861.0,327061.75
111,30052.0,358019.0,364141.0,370696.0,379154.0,387490.0,393076.0,393538.0,392703.0,391049.0,390373.0,390087.0,388544.0,383239.1666666667
112,30228.0,283243.0,290084.0,297307.0,303339.0,311336.0,318448.0,323503.0,325164.0,323220.0,321516.0,320719.0,321884.0,311646.9166666667
113,30251.0,188260.0,194782.0,197434.0,200263.0,201081.0,204635.0,208144.0,210843.0,211400.0,212323.0,213373.0,214334.0,204739.33333333334
114,30126.0,351027.0,358330.0,367220.0,373610.0,378583.0,380997.0,383050.0,384435.0,385734.0,387011.0,387758.0,387151.0,377075.5
115,30650.0,328300.0,338636.0,343497.0,348877.0,351468.0,357288.0,362525.0,366340.0,367166.0,368656.0,370321.0,371647.0,356226.75
116,31816.0,81228.0,83479.0,84497.0,85606.0,86248.0,87666.0,89060.0,89834.0,89790.0,89834.0,90104.0,90057.0,87283.58333333333
117,30055.0,311571.0,321332.0,327554.0,332626.0,334868.0,338542.0,341567.0,345488.0,345887.0,346017.0,345726.0,346128.0,336442.1666666667
118,30062.0,474052.0,483282.0,494470.0,502805.0,509076.0,511689.0,512450.0,512266.0,512222.0,512903.0,514243.0,514104.0,504463.5
119,30066.0,394679.0,403166.0,413408.0,420924.0,426993.0,429368.0,430283.0,430124.0,430041.0,430224.0,430975.0,429803.0,422499.0
120,30064.0,440830.0,449531.0,460488.0,468647.0,475943.0,479145.0,480881.0,480724.0,480404.0,480399.0,480812.0,479423.0,471435.5833333333
121,30067.0,495922.0,505212.0,516246.0,523600.0,529892.0,532518.0,534020.0,533807.0,534174.0,535429.0,537241.0,537328.0,526282.4166666666
122,30060.0,304788.0,311175.0,318742.0,324553.0,328541.0,330653.0,331705.0,332585.0,334052.0,335534.0,337248.0,337165.0,327228.4166666667
123,30008.0,304010.0,310164.0,317885.0,324240.0,329892.0,333562.0,336147.0,337972.0,339548.0,340481.0,341368.0,340700.0,329664.0833333333
124,30068.0,608352.0,620057.0,633569.0,642681.0,649820.0,652673.0,654466.0,654697.0,655411.0,656055.0,657095.0,656649.0,645127.0833333334
